"STRATA_2020","STRATUM_WEIGHT","ETCA_whopt","ETCO_whopt","PRFI_whopt","ETCA_nhopt","ETCO_nhopt","PRFI_nhopt","max_nh","max_prp","max_prp_nh"
"S01",0.12971668148901,NA,NA,0.135364918278557,NA,NA,67.6824591392784,67.6824591392784,0.0660962418865234,33.0481209432617
"S02",0.0154152373692458,NA,NA,0.0861133789045199,NA,NA,43.05668945226,43.05668945226,0.0420476057912312,21.0238028956156
"S03",0.00618303476898319,NA,NA,0.0124233595680516,NA,NA,6.2116797840258,6.2116797840258,0.0060661018341801,3.03305091709005
"S04",0.00660653030110532,NA,NA,0.0258726110143285,NA,NA,12.9363055071642,12.9363055071642,0.0126331281220142,6.31656406100708
"S05",0.0579765383475204,0.0137095485971895,NA,0.0366512437713058,5.44814471132276,NA,18.3256218856529,18.3256218856529,0.0178961395947883,8.94806979739415
"S06",0.00563249057722441,7.30534011603506e-06,NA,0.00869664102073124,0.00290312622880594,NA,4.34832051036562,4.34832051036562,0.00424641255516179,2.1232062775809
"S07",0.0390039385084487,0.00873879490918111,NA,0.174454919974186,3.47277803716672,NA,87.2274599870932,87.2274599870932,0.0851831828774095,42.5915914387048
"S08",0.00736882225892517,9.55736225706843e-06,NA,0.0270364675052853,0.00379807491588146,NA,13.5182337526426,13.5182337526426,0.0132014182013476,6.60070910067378
"S09",0.00554779147079998,7.19548537744807e-06,NA,0.0214891846227773,0.00285947019529007,NA,10.7445923113887,10.7445923113887,0.0104927802774454,5.2463901387227
"S10",0.0430694956168212,0.0360093432822471,NA,0.140234506821469,14.3100344822148,NA,70.1172534107345,70.1172534107345,0.0684739739186725,34.2369869593362
"S11",0.0171515690509465,0.0235708225704106,NA,0.0973962308678318,9.36699348035688,NA,48.6981154339159,48.6981154339159,0.0475568183850162,23.7784091925081
"S12",0.0155422860288824,0.0192425559904807,NA,0.0663777971429774,7.64694978165521,NA,33.1888985714887,33.1888985714887,0.0324110780817559,16.205539040878
"S13",0.0367594121882014,0.0711675387978977,0.000130498714793511,0.010056537561997,28.2818246983793,0.0493647736260805,5.0282687809985,28.2818246983793,0.027619007199629,13.8095035998145
"S14",0.0484902384279846,0.0829505308433147,0.000174826243098188,0.0973759870566133,32.9643600379423,0.0661328958533876,48.6879935283066,48.6879935283066,0.0475469336980528,23.7734668490264
"S15",0.0106297378562656,0.0406768090376503,3.9168721131288e-05,0.02050328482117,16.1648751934395,0.0148166597267152,10.251642410585,16.1648751934395,0.0157860325177072,7.89301625885358
"S16",0.0146105958582137,0.0486080990075088,0.0650044193435097,0.0313520015149576,19.3167525289274,24.5897321721879,15.6760007574788,24.5897321721879,0.0240134431615909,12.0067215807954
"S17",0.062253843221954,0.031249577225634,0.000280868390551188,1.95749055782506e-05,12.4185138326008,0.106246291698885,0.00978745278912532,12.4185138326008,0.012127471498363,6.06373574918151
"S18",0.00719942404607631,0.0161998933245782,0.0552223180934163,3.40911276924589e-06,6.4378022744226,20.889379915368,0.00170455638462295,20.889379915368,0.0203998129693307,10.1999064846654
"S19",0.00660653030110532,0.0211707131535279,0.0455465323852182,2.01614196030671e-06,8.41319523284449,17.2292444734563,0.00100807098015335,17.2292444734563,0.0168254570640849,8.41272853204246
"S20",0.136916105535087,0.2040228366493,0.000617719392280264,3.84166686254806e-05,81.0782303005821,0.233669565348636,0.0192083343127403,81.0782303005821,0.0791780675499796,39.5890337749898
"S21",0.0295176385889129,0.0914891066513056,0.168406142075929,0.00464640247525754,36.3575714409838,63.7043138238874,2.32320123762877,63.7043138238874,0.0622113290395369,31.1056645197684
"S22",0.0564519544318807,0.181222595586961,0.664078248745848,0.00389111024905007,72.0174642308569,251.206094030996,1.94555512452503,251.206094030996,0.245318786663378,122.659393331689
"S23",0.0336255452504976,0.0122520201614457,7.77642414655328e-05,NA,4.86892608989947,0.0294164902866981,NA,4.86892608989947,0.00475481713664328,2.37740856832164
"S24",0.207724558505908,0.097695156023617,0.000421493652759129,NA,38.8238419258412,0.159441713937238,NA,38.8238419258412,0.0379139599761579,18.956979988079
