"YEAR","BFISH","PSU","STRATA_2020","APRU","ETCA","ETCO","HYQU","PRFI","PRSI","PRZO"
2018,"BFISH_2018_F",24,"S11",0,0,0,0,0,20.635587172443,0
2018,"BFISH_2018_F",271,"S10",0,0,0,0,8.41067916860428,0,0
2018,"BFISH_2018_F",305,"S22",0,1.39841047492445,0,0,0,0,0
2018,"BFISH_2018_F",449,"S16",0,0,0,4.11735852017666,0,0,0
2018,"BFISH_2018_F",531,"S16",0,0,0,0,0,0,0
2018,"BFISH_2018_F",559,"S12",0,0,0,0,0,21.4016113583478,0
2018,"BFISH_2018_F",638,"S14",0,0,0,0,5.25716867528984,0,1.54224023538298
2018,"BFISH_2018_F",694,"S16",0,0,0,0,0,0,0
2018,"BFISH_2018_F",795,"S21",0,2.36234895775358,6.90727013783622,0,0,0,0
2018,"BFISH_2018_F",979,"S16",0,0.818684818373517,0,0,0,5.53633561418592,0.915741395769628
2018,"BFISH_2018_F",1064,"S24",0,0,0,0,0,0,0
2018,"BFISH_2018_F",1082,"S20",0,0,0,0,0,0,0
2018,"BFISH_2018_F",1088,"S20",0,0,0,0,0,0,0
2018,"BFISH_2018_F",1130,"S20",0,0,0,0,0,0,0
2018,"BFISH_2018_F",1163,"S14",0,0,0,0,0,0,0
2018,"BFISH_2018_F",1210,"S10",0,0,0,0,8.5884810099995,0,0
2018,"BFISH_2018_F",1230,"S02",0,0,0,0,0,0,0
2018,"BFISH_2018_F",1398,"S11",0,0,0,0,5.22960065355432,0,0
2018,"BFISH_2018_F",1420,"S22",0,0,0,0,0,0,0
2018,"BFISH_2018_F",1704,"S10",0,0,0,0,0,0,0
2018,"BFISH_2018_F",1870,"S12",0,1.2871454289631,0,0,0,0,0
2018,"BFISH_2018_F",1980,"S10",0,0,0,0,0,0,0
2018,"BFISH_2018_F",2071,"S04",0,0,0,0,0,0,0
2018,"BFISH_2018_F",2164,"S12",0,0,0,0,3.61650876404742,0,0
2018,"BFISH_2018_F",2417,"S15",0,0,0,0,0,0,0
2018,"BFISH_2018_F",2486,"S11",0,0,0,0,0,0,0
2018,"BFISH_2018_F",3279,"S12",0,0,0,0,1.14064870212683,0,0
2018,"BFISH_2018_F",3292,"S24",0,0,0,0,0,0,0
2018,"BFISH_2018_F",3300,"S24",0,0,0,0,0,0,0
2018,"BFISH_2018_F",3356,"S24",0,0,0,0,0,0,0
2018,"BFISH_2018_F",3390,"S11",0,0,0,0,0,0,0
2018,"BFISH_2018_F",3406,"S24",0,0,0,0,0,0,0
2018,"BFISH_2018_F",3540,"S21",0,3.95997996803878,0,0,0,0,0
2018,"BFISH_2018_F",3547,"S09",0,0,0,0,0,0,0
2018,"BFISH_2018_F",3586,"S24",0,0,0,0,0,0,0
2018,"BFISH_2018_F",3609,"S09",0,0,0,0,0,0,0
2018,"BFISH_2018_F",3730,"S20",0,0,0,0,0,20.3395619310271,0
2018,"BFISH_2018_F",3828,"S14",0,0,0,0,0,0,0
2018,"BFISH_2018_F",4042,"S14",0,0,0,0,0,0,0
2018,"BFISH_2018_F",4140,"S24",0,0,0,0,0,0,0
2018,"BFISH_2018_F",4346,"S24",0,0,0,0,0,0,0
2018,"BFISH_2018_F",4508,"S01",0,0,0,0,0,0,0
2018,"BFISH_2018_F",4528,"S10",0,0,0,0,1.42848531439595,0,0
2018,"BFISH_2018_F",4570,"S15",0,2.26467745406593,0,0,0,0,0
2018,"BFISH_2018_F",4626,"S24",0,0,0,0,0,0,0
2018,"BFISH_2018_F",4646,"S12",0,0,0,0,0,0,0
2018,"BFISH_2018_F",4747,"S14",0,0,0,0,0,0,0
2018,"BFISH_2018_F",4777,"S24",0,0,0,0,0,0,0
