"YEAR","BFISH","PSU","STRATA_2020","APRU","ETCA","ETCO","HYQU","PRFI","PRSI","PRZO"
2019,"BFISH_2019_F",7675,"S20",0,0,0,0,0,0,0
2019,"BFISH_2019_F",7680,"S20",0,0,0,0,0,0,0
2019,"BFISH_2019_F",7701,"S21",0,0,0,0,0,0,0
2019,"BFISH_2019_F",8005,"S07",0,0,0,0,0,0,0
2019,"BFISH_2019_F",8163,"S10",0,0,0,0,3.88712940334517,0,0
2019,"BFISH_2019_F",8165,"S20",0,0,0,0,0,0,0
2019,"BFISH_2019_F",8198,"S17",0,0,0,0,0,0,0
2019,"BFISH_2019_F",8378,"S20",0,0,0,0,0,0,0
2019,"BFISH_2019_F",8554,"S24",0,0,0,0,0,0,0
2019,"BFISH_2019_F",8605,"S24",0,0,0,0,0,0,0
2019,"BFISH_2019_F",8661,"S24",0,0,0,0,0,0,0
2019,"BFISH_2019_F",8712,"S02",0,0,0,0,0,0,0
2019,"BFISH_2019_F",8980,"S20",0,0,0,0,0,0,0
2019,"BFISH_2019_F",9008,"S02",0,0,0,0,0,0,0
2019,"BFISH_2019_F",9177,"S20",0,0,0,0,0,0,0
2019,"BFISH_2019_F",9217,"S14",0,0,0,0,0,0,0
2019,"BFISH_2019_F",9418,"S07",0,0,0,0,0,0,0
2019,"BFISH_2019_F",9479,"S07",0,0,0,0,0,0,0
2019,"BFISH_2019_F",9505,"S24",0,0,0,0,0,0,0
2019,"BFISH_2019_F",9513,"S17",0,0,0,0,0,0,0
2019,"BFISH_2019_F",9660,"S07",0,0,0,0,0,0,0
2019,"BFISH_2019_F",9675,"S22",0,0,1.49954248289676,0,7.59650630367423,0,0
2019,"BFISH_2019_F",9702,"S13",0,0,0,0,0,0,0
2019,"BFISH_2019_F",9762,"S13",0,0,0,0,0,0,0
2019,"BFISH_2019_F",9902,"S20",0,0,0,0,0,0,0
2019,"BFISH_2019_F",9908,"S21",0,0,0,0,0,0,0
2019,"BFISH_2019_F",9933,"S22",0,0,0,0,0,0,0
2019,"BFISH_2019_F",9942,"S18",0,0,0,0,0,0,0
2019,"BFISH_2019_F",9959,"S20",0,0,0,0,0,0,0
2019,"BFISH_2019_F",10001,"S19",0,0,0,0,0,0,0
2019,"BFISH_2019_F",10011,"S18",0,0.901239225741635,0,0,0,0,0
2019,"BFISH_2019_F",10045,"S24",0,0,0,0,0,0,0
2019,"BFISH_2019_F",10075,"S21",0,4.64080958893773,0,0,0,0,0
2019,"BFISH_2019_F",10119,"S24",0,3.5443181410068,0,0,0,0,0
2019,"BFISH_2019_F",10392,"S19",0,0,0,0,0,0,0
2019,"BFISH_2019_F",10882,"S22",0,0,0,0,0,0,0
2019,"BFISH_2019_F",10933,"S22",0,0,0,0,0,0,0
2019,"BFISH_2019_F",11083,"S14",0,0,0,0,0,0,0
2019,"BFISH_2019_F",11188,"S22",0,0,0,0,0,0,0
2019,"BFISH_2019_F",11203,"S15",0,0,0,0,0,0,0
2019,"BFISH_2019_F",11205,"S15",0,3.68346044703853,0,0,0,17.1630667270023,0
2019,"BFISH_2019_F",11276,"S17",0,0,0,0,0,0,0
2019,"BFISH_2019_F",11319,"S14",0,0,0,3.92254270455661,0,0,0
2019,"BFISH_2019_F",11335,"S17",0,0,0,0,0,0,0
2019,"BFISH_2019_F",11441,"S05",0,0,0,0,0,0,0
2019,"BFISH_2019_F",11479,"S20",0,11.0463150343764,0,0,0,0,0
2019,"BFISH_2019_F",11564,"S15",0,8.93600398118367,0,0,9.24806686005015,13.8647487614222,0
2019,"BFISH_2019_F",11669,"S20",0,1.0827082708127,0,0,0,0,0
2019,"BFISH_2019_F",11919,"S14",0,0.669071595709924,0,0,0,0,0
2019,"BFISH_2019_F",11933,"S24",0,0,0,0,0,0,0
2019,"BFISH_2019_F",12095,"S10",0,0,0,0,35.8264461316009,25.9098337793313,0
2019,"BFISH_2019_F",12122,"S01",0,0,0,0,0,0,0
2019,"BFISH_2019_F",12255,"S20",0,0,0,0,0,0,0
2019,"BFISH_2019_F",12258,"S10",0,0,0,0,4.62866365685656,0,0
2019,"BFISH_2019_F",12262,"S20",0,2.64918552317547,0,0,0,0,0
2019,"BFISH_2019_F",12296,"S22",0,0,1.60513578629875,0,0,0,0
2019,"BFISH_2019_F",12344,"S07",0,0,0,0,0,0,0
2019,"BFISH_2019_F",12388,"S24",0,0,0,0,0,0,0
2019,"BFISH_2019_F",12463,"S07",0,0,0,0,0,0,0
2019,"BFISH_2019_F",12532,"S22",0,0,24.2785058462219,0,0,0,0
2019,"BFISH_2019_F",12537,"S20",0,0,0,0,0,0,0
2019,"BFISH_2019_F",12569,"S07",0,0,0,0,34.1350034706209,0,0
2019,"BFISH_2019_F",12600,"S01",0,0,0,0,0,0,0
2019,"BFISH_2019_F",12617,"S10",0,0,0,0,5.59144074055268,0,0
2019,"BFISH_2019_F",12649,"S24",0,0,0,0,0,0,0
2019,"BFISH_2019_F",12661,"S17",0,0,0,0,0,0,0
2019,"BFISH_2019_F",12668,"S13",0,0,0,0,0,0,0
2019,"BFISH_2019_F",12801,"S13",0,0,0,0,0,0,0
2019,"BFISH_2019_F",12825,"S15",0,0,0,0,0,0,0
2019,"BFISH_2019_F",12967,"S01",0,0,0,0,0,0,0
2019,"BFISH_2019_F",13067,"S20",0,0,0,0,0,0,0
2019,"BFISH_2019_F",13214,"S21",0,0,0,0,0,0,0
2019,"BFISH_2019_F",13457,"S20",0,0,0,0,0,0,0
2019,"BFISH_2019_F",13485,"S14",0,0,0,0,0,0,0
2019,"BFISH_2019_F",13490,"S14",0,0,0,0,0,0,0
2019,"BFISH_2019_F",13642,"S10",0,0,0,0,0,0,0
2019,"BFISH_2019_F",13740,"S07",0,0,0,0,0,0,0
2019,"BFISH_2019_F",13780,"S23",0,0,0,0,0,0,0
2019,"BFISH_2019_F",13831,"S14",0,0,0,0,0,0,0
2019,"BFISH_2019_F",13841,"S13",0,0,0,0,0,0,0
2019,"BFISH_2019_F",14022,"S20",0,0,0,0,0,0,0
2019,"BFISH_2019_F",14094,"S10",0,0,0,0,0,0,0
2019,"BFISH_2019_F",14126,"S24",0,0,0,0,0,0,0
2019,"BFISH_2019_F",14138,"S24",0,0,0,0,0,0,0
2019,"BFISH_2019_F",14152,"S20",0,0,0,0,0,0,0
2019,"BFISH_2019_F",14168,"S21",0,0,0,0,0,0,0
2019,"BFISH_2019_F",14272,"S17",0,0,0,0,0,0,0
2019,"BFISH_2019_F",14274,"S22",0,0,0,0,0,0,0
