"YEAR","BFISH","STRATA_2020","APRU","ETCA","ETCO","HYQU","PRFI","PRSI","PRZO"
2019,"BFISH_2019_F","S01",0,0,0,0,0,0,0
2019,"BFISH_2019_F","S02",0,0,0,0,1.51589361616025,0,0
2019,"BFISH_2019_F","S03",0,0,0,0,0,0,0
2019,"BFISH_2019_F","S04",0.160305497190661,0,0,0,0.563112854968685,0,0
2019,"BFISH_2019_F","S05",0,0,0,0,2.51759781475399,0,0
2019,"BFISH_2019_F","S06",0,0,0,0,0,0,0
2019,"BFISH_2019_F","S07",0,0,0,0,1.91041023199301,0,0
2019,"BFISH_2019_F","S08",0,0,0,0,12.0117543027543,0,0
2019,"BFISH_2019_F","S09",0,0,0,0,3.07402148693619,0,0
2019,"BFISH_2019_F","S10",0.0877864151066371,0,0,0,2.77009066193101,1.10789358056239,0
2019,"BFISH_2019_F","S11",0,0.116499309114382,0,0.380369358636744,5.28428882626377,1.69128736177419,0
2019,"BFISH_2019_F","S12",0.701153037623696,0.274096922002977,0,0,1.49033337103246,0.508523570952551,0.37577741507658
2019,"BFISH_2019_F","S13",0,0.273177107308998,0,0,0.710628931435406,0,0
2019,"BFISH_2019_F","S14",0,0.33164022635094,0,0.145279359428023,0.547033551544188,0.0137532924527231,0.0520212858699521
2019,"BFISH_2019_F","S15",0,1.79248139760482,0,0,0.462403343002508,2.50630670809036,0.183944428208634
2019,"BFISH_2019_F","S16",0,1.98073334076181,0,0,0.313482459103862,5.43503060344754,0.77374656488097
2019,"BFISH_2019_F","S17",0,0.169788330980133,0,0.314247585392978,0,0,0
2019,"BFISH_2019_F","S18",0,0.450619612870818,0,0,0,0,0
2019,"BFISH_2019_F","S19",0,0.546633819673411,0,0,0,0,0
2019,"BFISH_2019_F","S20",0,0.683703596342606,0,0,0,0,0.00886671053321365
2019,"BFISH_2019_F","S21",0,0.59161632219429,0,0,0,0.54300160362998,0.0539391557437164
2019,"BFISH_2019_F","S22",0,2.91151078037694,2.04604501546991,0.0427270262075856,0.864409047914829,0.427902875906584,0.0508531105173356
2019,"BFISH_2019_F","S23",0,0,0,0,0,0,0
2019,"BFISH_2019_F","S24",0,0.135700548646478,0.692329500808221,0,0,0,0
