"PSU","Island","BFISH","STRATA_2020","SAMPLE_DEPTH_M","SPECIES_CD","LENGTH_CM","CPUE","GEAR","YEAR"
30,"Big Island","BFISH_2021_F","S07",121.6152,"PRFI",0,0,"Fishing","2021"
30,"Big Island","BFISH_2021_F","S07",121.6152,"ETCO",0,0,"Fishing","2021"
30,"Big Island","BFISH_2021_F","S07",121.6152,"APRU",0,0,"Fishing","2021"
30,"Big Island","BFISH_2021_F","S07",121.6152,"HYQU",0,0,"Fishing","2021"
30,"Big Island","BFISH_2021_F","S07",121.6152,"ETCA",0,0,"Fishing","2021"
30,"Big Island","BFISH_2021_F","S07",121.6152,"PRSI",0,0,"Fishing","2021"
30,"Big Island","BFISH_2021_F","S07",121.6152,"PRZO",0,0,"Fishing","2021"
47,"Big Island","BFISH_2021_F","S07",115.2144,"APRU",0,0,"Fishing","2021"
47,"Big Island","BFISH_2021_F","S07",115.2144,"PRSI",0,0,"Fishing","2021"
47,"Big Island","BFISH_2021_F","S07",115.2144,"ETCO",0,0,"Fishing","2021"
47,"Big Island","BFISH_2021_F","S07",115.2144,"PRZO",0,0,"Fishing","2021"
47,"Big Island","BFISH_2021_F","S07",115.2144,"PRFI",0,0,"Fishing","2021"
47,"Big Island","BFISH_2021_F","S07",115.2144,"ETCA",0,0,"Fishing","2021"
47,"Big Island","BFISH_2021_F","S07",115.2144,"HYQU",0,0,"Fishing","2021"
54,"Big Island","BFISH_2021_F","S01",96.4692,"HYQU",0,0,"Fishing","2021"
54,"Big Island","BFISH_2021_F","S01",96.4692,"APRU",0,0,"Fishing","2021"
54,"Big Island","BFISH_2021_F","S01",96.4692,"PRFI",0,0,"Fishing","2021"
54,"Big Island","BFISH_2021_F","S01",96.4692,"ETCA",0,0,"Fishing","2021"
54,"Big Island","BFISH_2021_F","S01",96.4692,"PRSI",0,0,"Fishing","2021"
54,"Big Island","BFISH_2021_F","S01",96.4692,"PRZO",0,0,"Fishing","2021"
54,"Big Island","BFISH_2021_F","S01",96.4692,"ETCO",0,0,"Fishing","2021"
117,"Big Island","BFISH_2021_F","S10",122.9868,"PRZO",0,0,"Fishing","2021"
117,"Big Island","BFISH_2021_F","S10",122.9868,"PRSI",0,0,"Fishing","2021"
117,"Big Island","BFISH_2021_F","S10",122.9868,"PRFI",0,0,"Fishing","2021"
117,"Big Island","BFISH_2021_F","S10",122.9868,"HYQU",0,0,"Fishing","2021"
117,"Big Island","BFISH_2021_F","S10",122.9868,"APRU",0,0,"Fishing","2021"
117,"Big Island","BFISH_2021_F","S10",122.9868,"ETCO",0,0,"Fishing","2021"
117,"Big Island","BFISH_2021_F","S10",122.9868,"ETCA",0,0,"Fishing","2021"
122,"Big Island","BFISH_2021_F","S12",153.43632,"ETCA",34,1.62048290390536,"Fishing","2021"
122,"Big Island","BFISH_2021_F","S12",153.43632,"PRSI",32,7.33137829912024,"Fishing","2021"
122,"Big Island","BFISH_2021_F","S12",153.43632,"APRU",0,0,"Fishing","2021"
122,"Big Island","BFISH_2021_F","S12",153.43632,"ETCO",0,0,"Fishing","2021"
122,"Big Island","BFISH_2021_F","S12",153.43632,"HYQU",0,0,"Fishing","2021"
122,"Big Island","BFISH_2021_F","S12",153.43632,"ETCA",37,1.62048290390536,"Fishing","2021"
122,"Big Island","BFISH_2021_F","S12",153.43632,"PRFI",0,0,"Fishing","2021"
122,"Big Island","BFISH_2021_F","S12",153.43632,"ETCA",38,1.62048290390536,"Fishing","2021"
122,"Big Island","BFISH_2021_F","S12",153.43632,"PRZO",35,1,"Fishing","2021"
130,"Big Island","BFISH_2021_F","S01",81.3816,"PRZO",0,0,"Fishing","2021"
