"BFISH","MISSION_ID","DROP_CD","VIDEO_FRAME","TIME_FROM_TOUCHDOWN_MIN","SPECIES_CD","SCIENTIFIC_NAME","COMMON_NAME","MAXN","DATA_TYPE","SEQUENCE_NR","CREATE_DTM","CREATED_BY","LAST_MOD_DTM","LAST_MOD_BY"
"BFISH_2018_F","SE1806","20181029_012746",4779,0.5431,"SERI","Seriola rivoliana","Almaco jack",NA,"non-target","00000353",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181029_012746",6989,3.6125,"PRFI","Pristipomoides filamentosus","Opakapaka",2,"MaxN","00000354",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181029_180318",4473,0,"FISH","Teleost","Bony fish sp.",NA,"non-target","00000355",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181029_180318",4659,0.2583,"APVI","Aprion virescens","Green jobfish",NA,"non-target","00000356",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181029_180318",4799,0.4528,"APRU","Aphareus rutilans","Lehi",1,"MaxN","00000357",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181029_180318",4835,0.5028,"SERI","Seriola rivoliana","Almaco jack",NA,"non-target","00000358",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181029_180318",5460,1.3708,"PRFI","Pristipomoides filamentosus","Opakapaka",3,"MaxN","00000359",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181029_180318",7418,4.0903,"SEDU","Seriola dumerili","Greater amberjack",NA,"non-target","00000360",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181029_181239",5272,0.7139,"FISH","Teleost","Bony fish sp.",NA,"non-target","00000361",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181029_181239",5457,0.9708,"PRFI","Pristipomoides filamentosus","Opakapaka",14,"MaxN","00000362",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181029_181239",5492,1.0194,"SESP","Seriola sp.","Amberjack sp.",NA,"non-target","00000363",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181029_181822",17004,15,"NONE","No Fish in Drop","NONE",NA,NA,"00000364",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181029_183359",7812,NA,"SQMI","Squalus hawaiiensis","Green eye shark",NA,"non-target","00000365",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181029_183424",15504,15,"NONE","No Fish in Drop","NONE",NA,NA,"00000366",NA,NA,NA,NA
