"SPECIES_CD","SCIENTIFIC_NAME","COMMON_NAME","SPECIES_TYPE_CD","A","B","GCF"
"APVI","Aprion virescens","Green jobfish","OTB",2.1e-05,2.9052,NA
"ARBR","Ariomma brevimanus","Indian driftfish",NA,NA,NA,NA
"AUCH","Aulostomus chinensis","Chinese trumpetfish","OTH",NA,NA,NA
"BEDA","Beryx decadactylus","Alfonsino","OTB",NA,NA,NA
"BIGE","Priacanthid sp.","Big eye sp.","OTH",NA,NA,NA
"BOAL","Bodianus albotaeniatus","Hawaiian hogfish","OTH",NA,NA,NA
"BUTT","Chaetodontid sp.","Butterflyfish sp.","OTH",NA,NA,NA
"BUTT","Chaetodontid","Butterflyfish sp.","OTH",NA,NA,NA
"CAAL","Carcharhinus altimus","Bignose shark","SHK",NA,NA,NA
"CAAM","Carcharhinus amblyrhynchos","Blacktail reef shark","SHK",NA,NA,NA
"CAAM","Carcharhinus amblyrhynchos","Blacktail reef shark","SHK",NA,NA,NA
"CACA","Carcharodon carcharias","Great White Shark","SHK",NA,NA,NA
"CAEQ","Carangoides equula","Whitefin trevally","OTB",NA,NA,NA
"CAGA","Carcharhinus galapagensis","Galapagos shark","SHK",NA,NA,NA
"CAFE","Carangoides ferdau","Blue trevally","OTB",NA,NA,NA
"CAIG","Caranx ignobilis","Giant trevally","OTB",NA,NA,NA
"CAIN","Canthigaster inframacula","Puffer","OTH",NA,NA,NA
"CALU","Caranx lugubris","Black Trevally","OTB",NA,NA,NA
"CAME","Caranx melampygus","Bluefin trevally","OTB",NA,NA,NA
"CAOR","Carangoides orthogrammus","Island trevally","OTB",NA,NA,NA
"CAOR","Carangoides orthogrammus","Island trevally","OTB",NA,NA,NA
"CAOR","Carangoides orthogrammus","Island trevally","OTB",NA,NA,NA
"CAOR","Carangoides orthogrammus","Island trevally","OTB",NA,NA,NA
"CAOR","Carangoides orthogrammus","Island trevally","OTB",NA,NA,NA
"CAPL","Carcharhinus plumbeus","Sandbar shark","SHK",NA,NA,NA
"CASE","Caranx sexfasciatus","Bigeye trevally","OTB",NA,NA,NA
"CHFR","Chaetodon fremblii","Bluestriped butterflyfish","OTH",NA,NA,NA
"CHLU","Chaetodon lunula","Raccoon butterflyfish","OTH",NA,NA,NA
"CHMI","Chaetodon miliaris","Millet butterflyfish","OTH",NA,NA,NA
"CHST","Chromis struhsakeri","Struhsaker's chromis","OTH",NA,NA,NA
"CHTI","Chaetodon tinkeri","Hawaiian butterflyfish","OTH",NA,NA,NA
"CHVE","Chromis verater","Threespot chromis","OTH",NA,NA,NA
"COBA","Coris ballieui","Lined coris","OTH",NA,NA,NA
