"YEAR","BFISH","PSU","STRATA_2020","APRU","ETCA","ETCO","HYQU","PRFI","PRSI","PRZO"
2020,"BFISH_2020_F",7153,"S20",0,0,0,0,0,0,0
2020,"BFISH_2020_F",7425,"S20",0,0,0,0,0,0,0
2020,"BFISH_2020_F",7477,"S20",0,0,0,0,0,0,0
2020,"BFISH_2020_F",7484,"S20",0,0,0,0,0,0,0
2020,"BFISH_2020_F",7655,"S10",0,0,0,0,0,0,0
2020,"BFISH_2020_F",7680,"S20",0,0,0,0,0,0,0
2020,"BFISH_2020_F",7725,"S10",0,0,0,0,0,0,0
2020,"BFISH_2020_F",7744,"S20",0,0,0,0,0,0,0
2020,"BFISH_2020_F",7812,"S20",0,0,0,0,0,0,0
2020,"BFISH_2020_F",7871,"S10",0,0,0,0,0,0,0
2020,"BFISH_2020_F",8088,"S10",0,0,0,0,0,0,0
2020,"BFISH_2020_F",8094,"S14",0,3.47807933885939,0,0,0,0,0
2020,"BFISH_2020_F",8102,"S17",0,0,0,0,0,0,0
2020,"BFISH_2020_F",8111,"S20",0,0,0,0,0,0,0
2020,"BFISH_2020_F",8240,"S20",0,0,0,0,0,0,0
2020,"BFISH_2020_F",8338,"S24",0,0,0,0,0,0,0
2020,"BFISH_2020_F",8358,"S15",0,0,0,0,0,0,0
2020,"BFISH_2020_F",8369,"S10",0,0,0,0,20.7267924901389,0,0
2020,"BFISH_2020_F",8414,"S24",0,0,0,0,0,0,0
2020,"BFISH_2020_F",8415,"S24",0,0,0,0,0,0,0
2020,"BFISH_2020_F",8444,"S20",0,0,0,0,0,0,0
2020,"BFISH_2020_F",8493,"S19",0,0,0,0,0,0,0
2020,"BFISH_2020_F",8508,"S10",0,0,0,0,0,0,0
2020,"BFISH_2020_F",8532,"S23",0,0,0,0,0,0,0
2020,"BFISH_2020_F",8554,"S24",0,0,0,0,0,0,0
2020,"BFISH_2020_F",8567,"S10",0,0,0,0,24.6975270630995,0,0
2020,"BFISH_2020_F",8613,"S24",0,0,0,0,0,0,0
2020,"BFISH_2020_F",8651,"S10",0,0,0,0,0,0,0
2020,"BFISH_2020_F",8652,"S10",0,0,0,0,0,0,0
2020,"BFISH_2020_F",8702,"S10",0,0,0,0,0,0,0
2020,"BFISH_2020_F",8715,"S10",0,0,0,0,0,0,0
2020,"BFISH_2020_F",8768,"S20",0,0,0,0,0,0,0
2020,"BFISH_2020_F",8795,"S02",0,0,0,0,0,0,0
2020,"BFISH_2020_F",8797,"S10",0,0,0,0,0,0,0
2020,"BFISH_2020_F",8871,"S10",0,0,0,0,0,0,0
2020,"BFISH_2020_F",8891,"S10",0,0,0,0,0,0,0
2020,"BFISH_2020_F",8963,"S10",0,0,0,0,0,0,0
2020,"BFISH_2020_F",8976,"S10",0,0,0,0,0,0,0
2020,"BFISH_2020_F",8993,"S22",0,0,0,0,0,0,0
2020,"BFISH_2020_F",9014,"S15",0,0,0,0,0,15.2354149872187,0
2020,"BFISH_2020_F",9032,"S13",0,0,0,0,0,0,0
2020,"BFISH_2020_F",9086,"S10",0,0,0,0,0,0,0
2020,"BFISH_2020_F",9126,"S10",0,0,0,0,0,0,0
2020,"BFISH_2020_F",9307,"S10",0,0,0,0,0,0,0
2020,"BFISH_2020_F",9336,"S11",0,0,0,0,0,0,0
2020,"BFISH_2020_F",9436,"S20",0,0,0,0,0,0,0
2020,"BFISH_2020_F",9544,"S05",0,0,0,0,0,0,0
2020,"BFISH_2020_F",9571,"S24",0,0,0,0,0,0,0
2020,"BFISH_2020_F",9649,"S11",0,0,0,0,0,0,0
2020,"BFISH_2020_F",9653,"S10",0,0,0,0,0,0,0
2020,"BFISH_2020_F",9678,"S22",0,13.4018707515409,21.0415218365984,0,0,0,0
2020,"BFISH_2020_F",9707,"S10",0,0,0,4.95967848382949,0,0,0
2020,"BFISH_2020_F",9714,"S07",0,0,0,0,0,0,0
2020,"BFISH_2020_F",9718,"S05",0,0,0,0,0,0,0
2020,"BFISH_2020_F",9737,"S22",0,4.39015413866007,0,0,0,0,0
2020,"BFISH_2020_F",9741,"S22",0,9.71676287689346,7.99451645429658,0,0,0,0
2020,"BFISH_2020_F",9792,"S20",0,0,0,0,0,0,0
2020,"BFISH_2020_F",9827,"S16",0,1.63990145902023,0,2.72511053012612,21.5103073745033,18.5953358665277,1.49017855999478
2020,"BFISH_2020_F",9841,"S20",0,0,0,0,0,0,0
2020,"BFISH_2020_F",9873,"S22",0,0,0,0,0,0,0
2020,"BFISH_2020_F",9880,"S18",0,0,0,0,0,0,0
2020,"BFISH_2020_F",9945,"S18",0,1.2871454289631,0,0,0,0,0
2020,"BFISH_2020_F",9949,"S22",0,0,0,0,0,0,0
2020,"BFISH_2020_F",10008,"S19",0,6.46323297026286,0,0,0,0,0
2020,"BFISH_2020_F",10244,"S24",0,0,0,0,0,0,0
2020,"BFISH_2020_F",10357,"S05",0,0,0,0,0,0,0
2020,"BFISH_2020_F",10399,"S09",0,0,0,0,0,0,0
2020,"BFISH_2020_F",10494,"S24",0,0,0,0,0,0,0
2020,"BFISH_2020_F",10752,"S11",0,0,0,0,0,0,0
2020,"BFISH_2020_F",10845,"S22",0,0,0,0,0,0,0
2020,"BFISH_2020_F",10882,"S22",0,0,0,0,0,0,0
2020,"BFISH_2020_F",10930,"S22",0,0,0,0,0,0,0
2020,"BFISH_2020_F",11211,"S10",0,0,0,0,0,0,0
2020,"BFISH_2020_F",11283,"S22",0,2.12696896820352,0,0,0,0,0
2020,"BFISH_2020_F",11307,"S10",0,0,11.1144205334192,0,0,0,0
2020,"BFISH_2020_F",11408,"S14",0,0,0,0,0,0,0
2020,"BFISH_2020_F",11411,"S10",0,0,0,0,0,0,0
2020,"BFISH_2020_F",11415,"S10",0,0,0,0,0,0,0
2020,"BFISH_2020_F",11565,"S20",0,0,0,0,0,0,0
2020,"BFISH_2020_F",11571,"S20",0,0,0,0,0,0,0
2020,"BFISH_2020_F",11574,"S22",0,1.9078323203089,8.36719934176413,0,0,0,0
2020,"BFISH_2020_F",11622,"S24",0,0,0,0,0,0,0
2020,"BFISH_2020_F",11728,"S22",0,1.41042479857649,5.31463044921099,0,0,0,0
2020,"BFISH_2020_F",11832,"S19",0,0,0,0,0,0,0
2020,"BFISH_2020_F",11834,"S21",0,0,0,0,0,0,0
2020,"BFISH_2020_F",11837,"S22",0,1.65826094921706,0,0,0,0,0
2020,"BFISH_2020_F",12058,"S22",0,0,0,0,0,0,0
2020,"BFISH_2020_F",12059,"S22",0,0,1.6730545802813,0,0,0,0
2020,"BFISH_2020_F",12101,"S21",0,11.5989789654753,0,0,0,0,0
2020,"BFISH_2020_F",12135,"S21",0,0,0,0,0,0,0
2020,"BFISH_2020_F",12170,"S22",0,0,4.48501045335993,0,0,0,0
2020,"BFISH_2020_F",12258,"S10",0,0,0,0,0,0,0
