"STRATA_2020","STRATUM_WEIGHT","ETCA_whopt","ETCO_whopt","PRFI_whopt","ETCA_nhopt","ETCO_nhopt","PRFI_nhopt","max_nh","max_prp","max_prp_nh"
"S01",0.12971668148901,NA,NA,0.0862490723656557,NA,NA,33.2341585277638,33.2341585277638,0.0370219176354392,27.7664382265794
"S02",0.0154152373692458,NA,NA,0.0693994911395053,NA,NA,26.7415477872998,26.7415477872998,0.0297893319248179,22.3419989436134
"S03",0.00618303476898319,NA,NA,0.0124255053819625,NA,NA,4.78789167610993,4.78789167610993,0.00533357663117199,4.00018247337899
"S04",0.00660653030110532,NA,NA,0.0145514151606991,NA,NA,5.60706364705843,5.60706364705843,0.00624611116134161,4.68458337100621
"S05",0.0579765383475204,0.0141786906548623,NA,0.0849180405476051,4.3974042959243,NA,32.7212750701998,32.7212750701998,0.0364505798924765,27.3379349193573
"S06",0.00563249057722441,6.3040726774865e-06,NA,0.0250207656715698,0.00195515629394816,NA,9.64119462397955,9.64119462397955,0.0107400195788928,8.05501468416958
"S07",0.0390039385084487,4.36545183155268e-05,NA,0.158311846648754,0.0135390898250095,NA,61.0019431402347,61.0019431402347,0.0679544485127504,50.9658363845628
"S08",0.00736882225892517,8.24743342768911e-06,NA,0.0436497641030215,0.00255787364772166,NA,16.8194641415873,16.8194641415873,0.0187364098778632,14.0523074083974
"S09",0.00554779147079998,6.20927459211077e-06,NA,0.0179597960245862,0.00192575544742263,NA,6.92040727901296,6.92040727901296,0.00770913901952042,5.78185426464032
"S10",0.0430694956168212,0.036124071035969,NA,0.183369911049893,11.2035835343773,NA,70.6575099986905,70.6575099986905,0.0787104783565208,59.0328587673906
"S11",0.0171515690509465,0.00975114933949753,NA,0.071787298318145,3.0242387706654,NA,27.6616360865943,27.6616360865943,0.0308142844057226,23.1107133042919
"S12",0.0155422860288824,0.0169619484426401,NA,0.0901436846888621,5.26060880828465,NA,34.7348606200122,34.7348606200122,0.0386936575474979,29.0202431606234
"S13",0.0367594121882014,0.0564257693658576,9.66661682081222e-05,0.0335167676728229,17.4999883028808,0.0450972414599783,12.9149397161561,17.4999883028808,0.0194944946486056,14.6208709864542
"S14",0.0484902384279846,0.0741050929100362,0.000129501528419373,0.050441968165054,22.9830850989552,0.0604157773585362,19.4366886561131,22.9830850989552,0.0256025102254653,19.201882669099
"S15",0.0106297378562656,0.0291347244880201,2.90140036349415e-05,0.00574725884333966,9.03589518544541,0.0135357752551912,2.2145781544162,9.03589518544541,0.0100657330330346,7.54929977477595
"S16",0.0146105958582137,0.042022241082758,0.0545820369235033,0.037096299125005,13.0328524657047,25.4639171505906,14.2942324143151,25.4639171505906,0.0283660873386417,21.2745655039813
"S17",0.062253843221954,0.0351972675125729,0.000208051635821288,2.70032170794044e-05,10.9161430439634,0.0970614128055172,0.0104050881077522,10.9161430439634,0.0121602762510948,9.12020718832109
"S18",0.00719942404607631,0.00971515600285181,2.40603932582442e-05,4.70280746888503e-06,3.01307573332695,0.0112247892360122,0.00181212208618157,3.01307573332695,0.00335648160116291,2.51736120087218
"S19",0.00660653030110532,0.0136309304551353,0.0420604205104803,2.78123022353416e-06,4.22752097495699,19.6222626264189,0.00107168510473103,19.6222626264189,0.0218586485398556,16.3939864048917
"S20",0.136916105535087,0.251708350423031,0.0871376302880841,5.29950777138872e-05,78.0652747431706,40.6519346550644,0.0204204725410568,78.0652747431706,0.0869625198819214,65.2218899114411
"S21",0.0295176385889129,0.113273828259661,0.0761727838452138,1.17317347610895e-05,35.1309462297921,35.5365531646025,0.00452056262359272,35.5365531646025,0.0395867204884468,29.6900403663351
"S22",0.0564519544318807,0.225649429983233,0.572238419950609,0.0153119010262726,69.9833148867561,266.963868285624,5.9000999327989,266.963868285624,0.297390238872812,223.042679154609
"S23",0.0336255452504976,2.84394256127211e-05,5.76034120947376e-05,NA,0.0088202539576609,0.0268734659944527,NA,0.0268734659944527,2.99362850963793e-05,0.0224522138222845
"S24",0.207724558505908,0.0720284953192488,0.167263811340672,NA,22.3390454348623,78.0328487967599,NA,78.0328487967599,0.0869263982898473,65.1947987173855
