"YEAR","BFISH","PSU","STRATA_2020","SAMPLE_DEPTH_M","SPECIES_CD","abund","uabund"
2019,"BFISH_2019_F",4156,"S01",106.9848,"PRFI",0,0
2019,"BFISH_2019_F",2535,"S04",102.285,"PRFI",1,0
2020,"BFISH_2020_F",25772,"S05",120.07125,"PRFI",0,0
2021,"BFISH_2021_F",3506,"S02",104.9274,"PRFI",20.2370627348945,0
2021,"BFISH_2021_F",210,"S02",102.108,"PRFI",5.78201792425556,0
2021,"BFISH_2021_F",2511,"S12",116.586,"PRFI",5.78201792425556,0
2021,"BFISH_2021_F",19414,"S07",110.6424,"PRFI",2.89100896212778,0
2020,"BFISH_2020_F",15742,"S02",108.204,"PRFI",0,0
2020,"BFISH_2020_F",15255,"S11",110.6424,"PRFI",0,0
2021,"BFISH_2021_F",9489,"S12",166.95,"PRFI",3.5,0
2019,"BFISH_2019_F",21569,"S01",87.7725,"PRFI",0,0
2020,"BFISH_2020_F",23706,"S10",158.1912,"PRFI",0,0
2019,"BFISH_2019_F",38264,"S20",222.8475,"PRFI",0,0
2021,"BFISH_2021_F",5809,"S03",86.868,"PRFI",0,0
2021,"BFISH_2021_F",14442,"S11",159.45,"PRFI",0,0
2020,"BFISH_2020_F",1947,"S16",171.6786,"PRFI",5.78201792425556,0
2021,"BFISH_2021_F",42551,"S16",182.4228,"PRFI",0,0
2019,"BFISH_2019_F",16068,"S08",134.46,"PRFI",0,0
2021,"BFISH_2021_F",21804,"S07",159.1056,"PRFI",0,0
2021,"BFISH_2021_F",43265,"S10",169.7736,"PRFI",0,0
2021,"BFISH_2021_F",44698,"S11",119.1768,"PRFI",0,0
2020,"BFISH_2020_F",23184,"S07",128.4732,"PRFI",0,0
2021,"BFISH_2021_F",9428,"S08",167.3352,"PRFI",0,0
2021,"BFISH_2021_F",43266,"S10",111.252,"PRFI",0,0
2019,"BFISH_2019_F",15061,"S21",234.2725,"PRFI",0,0
2021,"BFISH_2021_F",33024,"S07",146.7612,"PRFI",2.89100896212778,0
2019,"BFISH_2019_F",37991,"S20",233.172,"PRFI",0,0
2020,"BFISH_2020_F",32868,"S10",148.1328,"PRFI",0,0
2019,"BFISH_2019_F",1590,"S20",231.648,"PRFI",0,0
2019,"BFISH_2019_F",5518,"S04",92.94,"PRFI",0,0
2019,"BFISH_2019_F",36714,"S20",235.0008,"PRFI",0,0
2021,"BFISH_2021_F",41363,"S14",175.26,"PRFI",0,0
2019,"BFISH_2019_F",13485,"S14",199.335,"PRFI",0,0
2019,"BFISH_2019_F",22438,"S07",140.8176,"PRFI",0,0
2020,"BFISH_2020_F",9945,"S18",234.0864,"PRFI",0,0
2020,"BFISH_2020_F",39450,"S11",151.675,"PRFI",2,0
2019,"BFISH_2019_F",28266,"S16",184.6475,"PRFI",0,0
2021,"BFISH_2021_F",16705,"S01",91.2,"PRFI",1.5,0
2021,"BFISH_2021_F",38192,"S07",119.92356,"PRFI",0,0
2019,"BFISH_2019_F",42557,"S15",219.6846,"PRFI",0,0
2019,"BFISH_2019_F",13642,"S10",122.5296,"PRFI",0,0
2020,"BFISH_2020_F",36429,"S10",157.2825,"PRFI",0,0
2019,"BFISH_2019_F",16107,"S11",117.125,"PRFI",0,0
2020,"BFISH_2020_F",22687,"S10",153.6192,"PRFI",0,0
2021,"BFISH_2021_F",27704,"S05",126.1872,"PRFI",0,0
