"SPECIES_CD","nstar_20","nstar_15","nstar_10"
"PRFI",244.9432394995,423.483834007861,883.449053149804
"ETCA",190.720504160376,334.789279267617,727.11650038862
"ETCO",260.852585547607,433.520106440476,822.323715271528
